logT PP1 PP2 PP3 CNO
4.0 0.9999876902684753 9.817841163747925e-06 2.491890361023729e-06 0.0
4.000500050005001 0.9999875690919638 9.914487604840812e-06 2.516420431430234e-06 0.0
4.001000100010001 0.9999874467697983 1.0012047782110042e-05 2.5411824194581756e-06 0.0
4.001500150015001 0.9999873232916122 1.0110529964043566e-05 2.566178423752774e-06 0.0
4.002000200020002 0.9999871986469485 1.0209942490445434e-05 2.5914105610601647e-06 0.0
4.002500250025003 0.9999870728252606 1.0310293773020153e-05 2.6168809663757104e-06 0.0
4.003000300030003 0.999986945815911 1.0411592295959333e-05 2.6425917930929065e-06 0.0
4.0035003500350035 0.9999868176081703 1.051384661653509e-05 2.668545213153992e-06 0.0
4.004000400040004 0.9999866881912172 1.0617065365692112e-05 2.694743417200218e-06 0.0
4.004500450045004 0.9999865575541366 1.072125724865864e-05 2.7211886147269303e-06 0.0
4.005000500050005 0.9999864256859203 1.0826431045541685e-05 2.7478830342346384e-06 0.0
4.005500550055006 0.9999862925754647 1.0932595611946185e-05 2.7748289233861637e-06 0.0
4.006000600060006 0.9999861582115713 1.1039759879584263e-05 2.802028549161282e-06 0.0
4.006500650065006 0.999986022582945 1.1147932856900293e-05 2.829484198015368e-06 0.0
4.007000700070007 0.9999858856781944 1.1257123629688153e-05 2.857198176036064e-06 0.0
4.007500750075008 0.9999857474858291 1.1367341361734859e-05 2.8851728091066443e-06 0.0
4.008000800080008 0.9999856079942616 1.147859529543981e-05 2.9134104430631817e-06 0.0
4.008500850085008 0.9999854671918037 1.1590894752460358e-05 2.941913443858407e-06 0.0
4.009000900090009 0.9999853250666679 1.1704249134362696e-05 2.9706841977269092e-06 0.0
4.00950095009501 0.9999851816069655 1.1818667923257914e-05 2.999725111346575e-06 0.0
4.01000100010001 0.9999850368007056 1.1934160682465204e-05 3.0290386120069186e-06 0.0
4.0105010501050105 0.9999848906357951 1.2050737057167083e-05 3.058627147775388e-06 0.0
4.011001100110011 0.9999847431000373 1.2168406775081752e-05 3.088493187668012e-06 0.0
4.011501150115011 0.9999845941811312 1.2287179647117228e-05 3.1186392218154335e-06 0.0
4.012001200120012 0.9999844438666703 1.2407065568058009e-05 3.1490677616371906e-06 0.0
4.012501250125013 0.9999842921441428 1.2528074517241921e-05 3.1797813400135073e-06 0.0
4.013001300130013 0.9999841390009292 1.2650216559240449e-05 3.2107825114579734e-06 0.0
4.013501350135013 0.9999839844243031 1.2773501844549989e-05 3.242073852292992e-06 0.0
4.014001400140014 0.9999838284014289 1.2897940610301531e-05 3.2736579608299013e-06 0.0
4.014501450145015 0.9999836709193616 1.3023543180930596e-05 3.3055374575390223e-06 1.0605365737660735e-54
4.0150015001500154 0.999983511965046 1.315031996890906e-05 3.3377149852353946e-06 8.549717730666159e-55
4.015501550155015 0.9999833515253154 1.327828147545068e-05 3.3701932092578544e-06 6.893089817874436e-55
4.016001600160016 0.9999831895868911 1.3407438291221613e-05 3.4029748176493718e-06 5.55791778976902e-55
4.016501650165017 0.9999830261363816 1.3537801097065302e-05 3.4360625213410344e-06 8.963472739555593e-55
4.017001700170017 0.999982861160281 1.366938066472687e-05 3.4694590543359078e-06 7.228471657698637e-55
4.017501750175017 0.9999826946449685 1.3802187857601543e-05 3.503167173898995e-06 8.744679584657988e-55
4.018001800180018 0.9999825265767077 1.3936233631445304e-05 3.5371896607376107e-06 9.404262916406666e-55
4.018501850185019 0.9999823569416456 1.4071529035147034e-05 3.571529319197359e-06 9.482281656175155e-55
4.019001900190019 0.9999821857258111 1.42080852114579e-05 3.606188977447258e-06 1.0709147502148917e-54
4.0195019501950195 0.9999820129151145 1.434591339776266e-05 3.641171487675516e-06 1.1108343656861761e-54
4.02000200020002 0.9999818384953468 1.4485024926826453e-05 3.6764797262790624e-06 1.095431763800016e-54
4.02050205020502 0.9999816624521785 1.462543122757135e-05 3.71211659406066e-06 1.2053291146306985e-54
4.021002100210021 0.9999814847711578 1.4767143825847529e-05 3.7480850164246282e-06 1.2320422880559485e-54
4.021502150215022 0.9999813054377112 1.4910174345210216e-05 3.784387943574046e-06 1.30829450288247e-54
4.022002200220022 0.9999811244371416 1.505453450769732e-05 3.821028350708124e-06 1.393826755678773e-54
4.022502250225022 0.9999809417546272 1.5200236134638375e-05 3.858009238227523e-06 1.4659815439998594e-54
4.023002300230023 0.9999807573752205 1.534729114742884e-05 3.895333631930883e-06 1.5411648370964966e-54
4.023502350235024 0.9999805712838484 1.5495711568354823e-05 3.933004583224147e-06 1.6218876088047896e-54
4.024002400240024 0.9999803834653093 1.5645509521377086e-05 3.971025169319549e-06 1.7220341490896812e-54
4.024502450245024 0.9999801939042735 1.5796697232964712e-05 4.0093984934472135e-06 1.810460093244069e-54
4.025002500250025 0.9999800025852821 1.5949287032912432e-05 4.048127685062605e-06 1.9063855477780804e-54
4.025502550255026 0.9999798094927447 1.6103291355158347e-05 4.0872159000540645e-06 2.0117901793695818e-54
4.026002600260026 0.9999796146109404 1.6258722738624186e-05 4.126666320956093e-06 2.1206234956221855e-54
4.0265026502650265 0.9999794179240147 1.6415593828048916e-05 4.166482157160919e-06 2.236540782464905e-54
4.027002700270027 0.99997921941598 1.6573917374847414e-05 4.206666645136445e-06 2.3590420354092197e-54
4.027502750275027 0.9999790190707135 1.673370623795136e-05 4.247223048639684e-06 2.4846696655039687e-54
4.028002800280028 0.9999788168719563 1.689497338466557e-05 4.288154658934092e-06 2.618024819436737e-54
4.028502850285029 0.9999786128033135 1.7057731891536434e-05 4.329464795010005e-06 2.7582628162956624e-54
